Source,Destination,Anchor
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet.pdf,Steps to Help Prevent the Spread of COVID-19 if You Are Sick
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet.pdf,English
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://files.asprtracie.hhs.gov/documents/crisis-standards-of-care-and-civil-rights-laws-covid-19.pdf,Information on Crisis Standards of Care and Civil Rights Laws
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-arabic.pdf,Arabic
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-chinese.pdf,Simplified Chinese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.whitehouse.gov/wp-content/uploads/2021/01/National-Strategy-for-the-COVID-19-Response-and-Pandemic-Preparedness.pdf,"National Strategy for the COVID-19 Response and Pandemic Preparedness,"
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/guidance-federal-legal-standards-covid-19-vaccination-programs/index.html,https://www.whitehouse.gov/wp-content/uploads/2021/01/National-Strategy-for-the-COVID-19-Response-and-Pandemic-Preparedness.pdf,National Strategy for the COVID-19 Response and Pandemic Preparedness
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-french.pdf,French
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-russian.pdf,Russian
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-swahili.pdf,Swahili
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/whats-new-all.html,CDC Coronavirus 2019 (COVID-19) - What's New
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://files.asprtracie.hhs.gov/documents/covid-19-considerations-strategies-and-resources-for-crisis-standards-of-care-in-paltc-facilities.pdf,"COVID-19: Considerations, Strategies, and Resources for Crisis Standards of Care in Post-Acute and Long-Term Care (PALTC) Facilities"
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://files.asprtracie.hhs.gov/documents/covid-19-considerations-strategies-and-resources-for-crisis-standards-of-care-in-paltc-facilities.pdf,"COVID-19: Considerations, Strategies, and Resources for Crisis Standards of Care in Post-Acute and Long-Term Care (PALTC) Facilities"
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-nepali.pdf,Nepali
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.ada.gov/websites2_scrn.pdf,here
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/2019-ncov-factsheet-sp.pdf,Spanish
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-amharic.pdf,Amharic
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-pashto.pdf,Pashto
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/vaccines/covid-19/clinical-considerations/older-adults-and-disability/access.html,here.
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.fema.gov/media-library-data/1591797116457-292ed3716fee1d6353b51dff416aa69a/CIVILRIGHTSSTAKEHOLDERCALLTRANSCRIPT05062020.pdf,"FEMA, DHS and HHS COVID-19 Teleconference for Civil Rights Stakeholders"
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.fema.gov/media-library-data/1585665472306-991f89fbf5e0f22fe82953f17134f1e2/RAPT2.0_UserGuide_Final.pdf,User Guide
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-nepali.pdf,Nepali
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-vietnamese.pdf,Vietnamese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-vietnamese.pdf,Vietnamese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.whitehouse.gov/briefing-room/presidential-actions/2021/01/21/executive-order-improving-and-expanding-access-to-care-and-treatments-for-covid-19/,Improving and Expanding Access to Care and Treatments for COVID-19
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-pashto.pdf,Pashto
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms-chinese.pdf,Simplified Chinese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-russian.pdf,Russian
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms-vietnamese.pdf,Vietnamese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-haitian-creole.pdf,Haitian Creole
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-ukrainian.pdf,Ukrainian
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-haitian-creole.pdf,Haitian Creole
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms-sp.pdf,Spanish
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/vaccines/covid-19/clinical-considerations/older-adults-and-disability.html,here
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms.pdf,Symptoms of Coronavirus Disease 2019
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/COVID19-symptoms.pdf,English
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-sp.pdf,Spanish
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/sick-with-2019-nCoV-fact-sheet-burmese.pdf,Burmese
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-korean.pdf,Korean
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-sp.pdf,Spanish
